dttl,sttl,ackdat,tcprtt,dload,label
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
252,254,0.080995,0.171691,3631.067139,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
252,254,0.029472,0.072738,17325.19727,1
0,254,0.0,0.0,0.0,1
252,254,0.058409,0.103671,4684.858398,1
252,254,0.081452,0.141899,4605.924316,1
252,254,0.048571,0.148144,4852.033691,1
252,254,0.050083,0.059765,3836.218262,1
252,254,0.047695,0.101523,5732.036621,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
252,62,0.045714,0.085254,74774.39063,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
252,254,0.050357,0.246384,2451.057373,1
252,254,0.069163,0.183178,2124.689941,1
252,254,0.044611,0.050184,9848.859375,1
0,254,0.0,0.0,0.0,1
60,254,0.0,0.0,51263.44922,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
252,254,0.059999,0.134237,3190.354736,1
252,254,0.127801,0.238031,2694.189697,1
0,254,0.0,0.0,0.0,1
252,254,0.07034,0.161369,2757.721924,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
252,254,0.089193,0.178426,2371.338135,1
0,254,0.0,0.0,0.0,1
252,254,0.045562,0.052297,3905.167236,1
0,254,0.0,0.0,0.0,1
252,254,0.038136,0.119112,4374.345215,1
0,254,0.0,0.0,0.0,1
252,254,0.022186,0.05759,4854.397461,1
252,254,0.152771,0.254636,2924.36084,1
252,62,0.068161,0.151464,175234.9063,1
252,62,0.046522,0.092974,15322.24414,1
252,254,0.074572,0.153324,5073.059082,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
252,254,0.046528,0.058698,23067.37695,1
0,254,0.0,0.0,0.0,1
252,254,0.106883,0.215129,3245.65918,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
252,254,0.050586,0.090418,5560.088867,1
0,254,0.0,0.0,0.0,1
252,254,0.078927,0.173005,5647.844727,1
252,254,0.117918,0.200995,3350.094971,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
252,62,0.030794,0.064221,66535.01563,1
0,254,0.0,0.0,0.0,1
252,254,0.056577,0.06804,8383.743164,1
252,62,0.039459,0.087444,6021.056152,1
252,254,0.101267,0.204909,2044.933716,1
252,254,0.045259,0.10315,6556.657227,1
252,254,0.044199,0.050702,3716.875732,1
252,254,0.085422,0.164631,4592.964844,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
252,254,0.099312,0.229014,1526.767456,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
252,254,0.045295,0.059694,8878.62793,1
252,254,0.227275,0.368788,1189.549438,1
0,254,0.0,0.0,0.0,1
252,254,0.244797,0.445961,1701.723511,1
252,254,0.089583,0.220447,5628.774902,1
252,62,0.046342,0.052997,903380.875,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
252,254,0.046569,0.053916,9300.25,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
252,254,0.045989,0.052522,15810.37988,1
252,254,0.055248,0.110989,2427.833252,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
252,254,0.161329,0.336783,3955.54541,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
252,254,0.023243,0.072706,5859.004883,1
0,254,0.0,0.0,0.0,1
252,254,0.087962,0.128351,2609.493652,1
0,254,0.0,0.0,0.0,1
252,254,0.07314,0.165505,5298.978516,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
252,254,0.020849,0.053767,6042.17334,1
0,254,0.0,0.0,0.0,1
252,254,0.046332,0.133592,3264.197754,1
0,254,0.0,0.0,0.0,1
252,254,0.10051,0.255708,4366.021484,1
252,254,0.079159,0.17149,2726.806641,1
252,254,0.099669,0.187149,3681.992676,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
252,254,0.113375,0.20413,2782.207031,1
0,254,0.0,0.0,0.0,1
252,254,0.062225,0.12006,4875.564941,1
0,254,0.0,0.0,0.0,1
252,254,0.076218,0.135132,3028.064453,1
0,254,0.0,0.0,0.0,1
252,254,0.024692,0.059892,3491.644775,1
252,254,0.036194,0.105114,4189.741211,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
252,254,0.044586,0.050487,3979.882324,1
0,254,0.0,0.0,0.0,1
252,254,0.044948,0.149882,3123.805908,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
252,62,0.090529,0.15658,42474.47656,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
252,254,0.05107,0.136294,2160.277588,1
0,254,0.0,0.0,0.0,1
252,254,0.087262,0.158346,5706.515137,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
252,254,0.047144,0.080419,15816.61328,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
252,254,0.05325,0.139214,3781.560059,1
252,254,0.042568,0.088165,4687.099609,1
252,254,0.015463,0.032785,3881.957031,1
0,254,0.0,0.0,0.0,1
252,254,0.132332,0.230332,3222.12915,1
252,254,0.045694,0.052649,3974.390869,1
0,254,0.0,0.0,0.0,1
