dttl,sttl,ackdat,tcprtt,dload,label
29,31,0.000178,0.000831,7894157.0,0
29,31,0.000137,0.000676,4656160.0,0
29,31,0.0,0.0,657433.0625,0
29,31,0.000155,0.00073,76476.23438,0
29,31,0.000134,0.000654,11024499.0,0
29,31,0.000136,0.000746,4773078.5,0
29,31,0.000118,0.00062,10683780.0,0
29,31,0.000136,0.000703,8471090.0,0
29,31,0.000156,0.000834,7951914.5,0
29,31,0.000967,0.00145,313495.2188,0
29,31,0.000268,0.000734,3872893.0,0
29,31,0.000195,0.000917,73827.36719,0
29,31,0.0,0.0,685274.3125,0
29,31,0.000799,0.001293,7923995.0,0
29,31,0.0,0.0,406779.6563,0
0,60,0.0,0.0,0.0,0
29,31,0.000146,0.000623,46216.13281,0
29,31,0.000173,0.000746,10301704.0,0
29,31,0.000137,0.000633,26012.28906,0
29,31,0.00013,0.000642,58504.34375,0
29,31,0.000121,0.000664,76397.07813,0
29,31,0.000137,0.000632,1650741.625,0
30,32,0.000122,0.000599,257847.9063,0
29,31,0.0,0.0,639684.0625,0
29,31,0.0,0.0,413137.0313,0
29,31,0.000169,0.000735,53905.49219,0
29,31,0.000156,0.000774,7704361.5,0
29,31,0.000132,0.000591,8082825.0,0
29,31,0.000152,0.000645,1956195.0,0
29,31,0.0,0.0,640287.8125,0
29,31,0.000157,0.000729,65450.91016,0
29,31,0.0,0.0,1061082.0,0
29,31,0.000152,0.000918,69276.0625,0
29,31,0.0,0.0,683301.3125,0
29,31,0.000153,0.000696,76161.25,0
29,31,0.00015,0.000684,1199155.625,0
29,31,0.000146,0.000671,3737414.25,0
29,31,0.000156,0.000708,287015.375,0
0,254,0.0,0.0,0.0,0
29,31,0.000136,0.000753,5465124.0,0
29,31,0.0,0.0,649635.0625,0
29,31,0.000174,0.001268,5754903.0,0
29,31,0.000173,0.0007,592877.6875,0
29,31,0.000131,0.000675,3520242.5,0
0,60,0.0,0.0,0.0,0
29,31,0.000147,0.00065,5943999.0,0
0,254,0.0,0.0,0.0,0
29,31,0.000158,0.000726,3540875.75,0
0,254,0.0,0.0,0.0,0
29,31,0.000154,0.000599,499621.5313,0
29,31,0.000125,0.000739,14206980.0,0
