dttl,sttl,ackdat,tcprtt,dload,label
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
252,254,0.04187,0.129375,3635.829102,1
0,254,0.0,0.0,0.0,1
252,62,0.076706,0.180318,5940.385254,0
29,31,0.000209,0.00081,3965217.5,0
29,31,0.0,0.0,618592.5,0
29,31,9.8e-05,0.000562,37701.60156,0
29,31,0.000129,0.000643,3807179.5,0
252,254,0.049022,0.086252,7507.321777,1
29,31,0.0,0.0,652612.25,0
0,60,0.0,0.0,0.0,0
0,254,0.0,0.0,0.0,1
252,254,0.045948,0.059982,21293.48828,1
29,31,0.000135,0.000768,13099457.0,0
29,31,0.000132,0.000711,16147061.0,0
29,31,0.00094,0.001384,198857.4688,0
0,254,0.0,0.0,0.0,0
29,31,0.000141,0.000722,138208.2813,0
252,254,0.045789,0.071275,9676.862305,1
29,31,0.0,0.0,11824.77246,0
252,254,0.056423,0.184437,2799.533203,1
29,31,0.00016,0.000825,2858690.75,0
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
30,31,0.0,0.0,5396.625488,0
29,31,0.0,0.0,16408.18945,0
29,31,0.0,0.0,1041690.5,0
252,254,0.056943,0.103127,7076.87793,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
29,31,0.00015,0.000684,1199155.625,0
252,254,0.046596,0.077873,6034.503906,1
29,31,0.000141,0.000749,11532720.0,0
252,254,0.04682,0.055141,3879.188477,1
29,31,0.000127,0.000718,181569.4063,0
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
29,31,0.00014,0.000649,65290.80469,0
60,254,0.0,0.0,40880.50391,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
29,31,0.000199,0.000767,296764.8438,0
29,31,0.000166,0.000687,5651794.5,0
29,31,0.0,0.0,627299.1875,0
252,254,0.03118,0.053457,7633.327637,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,0
0,254,0.0,0.0,0.0,1
29,31,0.0,0.0,668705.375,0
252,254,0.070114,0.121706,6683.774414,1
252,254,0.073551,0.152746,2926.671387,1
0,254,0.0,0.0,0.0,1
252,254,0.054791,0.081662,5083.112793,1
0,254,0.0,0.0,0.0,1
252,254,0.027617,0.134761,5938.851074,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
29,31,0.0,0.0,957480.3125,0
29,31,0.000137,0.00065,43296.05078,0
29,31,0.0,0.0,696673.1875,0
29,31,0.0,0.0,674242.4375,0
29,31,0.000128,0.000671,9639572.0,0
29,31,0.000131,0.000621,9392.850586,0
29,31,0.000169,0.000757,3851326.75,0
29,31,9.7e-05,0.000573,670878.5625,0
30,32,0.00013,0.000664,5998487.0,0
29,31,0.000173,0.001163,10353828.0,0
252,254,0.056669,0.146868,3195.588867,1
0,254,0.0,0.0,0.0,1
29,31,0.000159,0.000718,1458846.625,0
0,254,0.0,0.0,0.0,1
29,31,0.000156,0.000724,10651122.0,0
252,254,0.049554,0.082854,6987.956055,1
29,31,0.000134,0.000607,289311.3438,0
0,254,0.0,0.0,0.0,1
252,254,0.082679,0.18222,2294.656006,0
29,31,0.000122,0.000668,110675.2891,0
29,31,0.0,0.0,672967.875,0
29,31,0.000154,0.000752,13155169.0,0
29,31,0.000156,0.000761,9874004.0,0
29,31,0.00013,0.000602,42543.42969,0
0,254,0.0,0.0,0.0,1
252,254,0.014616,0.063446,10320.67871,1
29,31,0.000133,0.000608,1103569.375,0
252,254,0.034218,0.075746,7491.889648,1
252,254,0.087962,0.128351,2609.493652,1
29,31,0.000116,0.000576,449656.1875,0
252,254,0.081573,0.143728,2612.266846,1
0,254,0.0,0.0,0.0,1
29,31,0.000152,0.00067,188980.2813,0
29,31,0.00014,0.000661,3799058.0,0
29,31,0.0,0.0,684615.375,0
29,31,0.000149,0.000661,1362128.5,0
29,31,0.0,0.0,621291.4375,0
29,31,0.000132,0.000591,8082825.0,0
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
29,31,0.0,0.0,637992.8125,0
29,31,0.000155,0.000708,75851.24219,0
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
29,31,0.000192,0.000837,14452702.0,0
0,254,0.0,0.0,0.0,1
29,31,0.000127,0.00065,88512.00781,0
29,31,0.000135,0.000664,57455.22656,0
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
0,60,0.0,0.0,0.0,0
29,31,0.00015,0.000769,8402331.0,0
29,31,0.000133,0.000642,6686861.0,0
29,31,0.0,0.0,646098.0,0
252,254,0.071149,0.21533,5373.350098,1
29,31,0.000202,0.000951,5379759.0,0
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
0,254,0.0,0.0,0.0,1
29,31,0.0,0.0,377483.4375,0
252,254,0.04898,0.083813,3851.924561,1
29,31,0.0,0.0,714142.4375,0
252,254,0.089992,0.192385,5354.830078,1
29,31,0.000125,0.000595,76477.14844,0
29,31,0.000133,0.000648,76221.61719,0
0,254,0.0,0.0,0.0,1
29,31,0.000137,0.000741,8320304.5,0
0,254,0.0,0.0,0.0,1
252,254,0.079791,0.187901,2640.388672,1
0,254,0.0,0.0,0.0,1
29,31,0.000132,0.000736,10547964.0,0
252,254,0.050073,0.05959,590.445129,1
0,254,0.0,0.0,0.0,1
29,31,0.00012,0.000677,4254997.0,0
252,254,0.06594,0.122099,2802.089111,1
