Anova: Two-Factor Without Replication,,,,,,
,,,,,,
SUMMARY,Count,Sum,Average,Variance,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,63,31.5,1860.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
60,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,63,31.5,1860.5,,
252,2,63,31.5,1860.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,63,31.5,1860.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,63,31.5,1860.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,63,31.5,1860.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,63,31.5,1860.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,63,31.5,1860.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
60,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,63,31.5,1860.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,63,31.5,1860.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,63,31.5,1860.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,63,31.5,1860.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,63,31.5,1860.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,63,31.5,1860.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,63,31.5,1860.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,63,31.5,1860.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,63,31.5,1860.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,63,31.5,1860.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,63,31.5,1860.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,1,0.5,0.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,63,31.5,1860.5,,
252,2,63,31.5,1860.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,63,31.5,1860.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
252,2,63,31.5,1860.5,,
252,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
0,2,255,127.5,32004.5,,
252,2,255,127.5,32004.5,,
,,,,,,
sttl,500,122330,244.66,1741.022445,,
label,500,500,1,0,,
,,,,,,
,,,,,,
ANOVA,,,,,,
Source of Variation,SS,df,MS,F,P-value,F crit
