Anova: Two-Factor Without Replication,,,,,,
,,,,,,
SUMMARY,Count,Sum,Average,Variance,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
0,2,60,30,1800,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
30,2,32,16,512,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
0,2,254,127,32258,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
0,2,60,30,1800,,
29,2,31,15.5,480.5,,
0,2,254,127,32258,,
29,2,31,15.5,480.5,,
0,2,254,127,32258,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
31,2,29,14.5,420.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
0,2,254,127,32258,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
0,2,0,0,0,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
29,2,31,15.5,480.5,,
