Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
hollywoodlife.com,0,0,1,4,0,0,0,0,0,1,1,0,1,1,0,0
extratorrent.cc,0,0,1,3,0,0,0,0,0,0,0,1,1,1,1,0
wikiwiki.jp,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0
bleacherreport.com,0,0,1,2,0,0,1,0,0,1,1,0,1,1,0,0
thenextweb.com,0,0,1,6,0,0,0,0,0,0,1,0,1,1,0,0
allegro.pl,0,0,1,3,0,0,0,0,0,0,0,0,1,1,0,0
lifehacker.com,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0
gizmodo.com,0,0,1,2,0,0,0,0,0,1,1,0,1,1,0,0
distractify.com,0,0,1,10,0,0,0,0,0,1,1,0,1,1,0,0
allegro.pl,0,0,1,3,0,0,0,0,0,0,0,0,1,1,0,0
mylust.com,0,0,1,3,0,0,1,0,0,1,1,0,1,1,0,0
akhbarelyom.com,0,0,1,5,0,0,0,0,0,1,1,0,1,1,0,0
mirtesen.ru,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0
abc.go.com,0,0,1,5,0,0,0,0,0,1,0,0,1,1,0,0
babal.net,0,0,1,3,0,0,0,0,0,1,1,1,1,1,0,0
metro.co.uk,0,0,1,4,0,0,0,0,0,0,1,0,1,1,0,0
diply.com,0,0,1,4,0,0,0,0,0,1,1,0,1,1,0,0
arstechnica.com,0,0,1,4,0,0,0,0,0,1,0,0,1,1,0,0
bigcinema.tv,0,0,1,2,0,0,0,0,0,1,1,1,1,1,1,0
hdfcbank.com,0,0,1,5,0,0,0,0,0,1,1,1,1,1,0,0
mylust.com,0,0,1,3,0,0,1,0,0,1,1,0,1,1,0,0
evernote.com,0,0,1,3,0,0,0,0,0,0,1,0,1,1,0,0
depositphotos.com,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0
themeforest.net,0,0,1,4,0,0,0,0,0,1,1,0,1,1,1,0
dantri.com.vn,0,0,1,3,0,0,0,0,0,1,1,0,1,1,0,0
superuser.com,0,0,1,3,0,0,0,0,0,1,0,0,1,1,0,0
metro.co.uk,0,0,1,4,0,0,0,0,0,0,1,0,1,1,0,0
elitedaily.com,0,0,1,4,0,0,0,0,0,0,1,0,1,1,1,0
thenextweb.com,0,0,1,6,0,0,0,0,0,0,1,0,1,1,0,0
emgn.com,0,0,1,2,0,0,0,0,0,1,1,1,1,1,1,0
distractify.com,0,0,1,10,0,0,0,0,0,1,1,0,1,1,0,0
qz.com,0,0,1,2,0,0,0,0,0,1,1,0,1,1,0,0
tobogo.net,0,0,1,2,0,0,0,0,0,1,1,0,1,1,0,0
conservativetribune.com,0,0,1,7,0,0,0,0,0,0,1,0,1,1,0,0
udn.com,0,0,1,4,0,0,0,0,0,0,1,0,1,1,0,0
allegro.pl,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0
wpengine.com,0,0,1,2,0,0,0,0,0,1,1,1,1,1,0,0
shareba.com,0,0,1,4,0,0,0,0,0,1,1,0,1,1,0,0
tobogo.net,0,0,1,2,0,0,0,0,0,1,1,0,1,1,0,0
evernote.com,0,0,1,3,0,0,0,0,0,0,1,0,1,1,0,0
otomoto.pl,0,0,1,4,0,0,0,0,0,0,1,0,1,1,0,0
mic.com,0,0,1,3,0,0,0,0,0,0,1,0,1,1,0,0
thenextweb.com,0,0,1,6,0,0,0,0,0,0,1,0,1,1,0,0
thenextweb.com,0,0,1,5,0,0,0,0,0,0,1,0,1,1,0,0
akhbarelyom.com,0,0,1,5,0,0,0,0,0,1,1,0,1,1,0,0
plarium.com,0,0,1,5,0,0,0,0,0,1,1,0,1,1,0,0
diply.com,0,0,1,3,0,0,0,0,0,1,1,0,1,1,0,0
nesn.com,0,0,1,3,0,0,0,0,0,0,1,0,1,1,0,0
thenextweb.com,0,0,1,6,0,0,0,0,0,0,1,0,1,1,0,0
correios.com.br,0,0,1,5,0,0,0,0,0,1,1,0,1,1,0,0
indianexpress.com,0,0,1,4,0,0,0,0,0,1,1,1,1,1,0,0
katproxy.com,0,0,1,3,0,0,0,0,0,0,1,1,1,1,0,0
io9.com,0,0,1,2,0,0,0,0,0,1,0,0,1,1,1,0
espn.go.com,0,0,1,8,0,0,0,0,0,1,0,1,1,1,0,0
grantland.com,0,0,1,2,0,0,0,0,0,1,1,0,1,1,0,0
interpark.com,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0
sourceforge.net,0,0,1,2,0,0,0,0,0,1,1,0,1,1,0,0
nesn.com,0,0,1,3,0,0,0,0,0,0,1,0,1,1,0,0
olx.ro,0,0,1,6,0,0,0,0,0,0,1,0,1,1,1,0
icicibank.com,0,0,1,4,0,0,0,0,0,0,1,1,1,1,0,0
thenextweb.com,0,0,1,5,0,0,0,0,0,0,1,0,1,1,0,0
codecanyon.net,0,0,1,4,0,0,0,0,0,1,1,0,1,1,1,0
distractify.com,0,0,1,10,0,0,0,0,0,1,1,0,1,1,0,0
diply.com,0,0,1,4,0,0,0,0,0,1,1,0,1,1,0,0
thenextweb.com,0,0,1,6,0,0,0,0,0,0,1,0,1,1,0,0
torcache.net,0,0,1,2,0,0,0,0,0,1,1,0,1,1,0,0
shareba.com,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0
otomoto.pl,0,0,1,5,0,0,0,0,0,0,1,0,1,1,0,0
