Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
storageapi-stg.fleek.one,0,0,1,3,0,0,0,1,0,0,1,0,1,1,0,1
uniquelyoursug.com,0,1,1,2,0,0,0,0,0,0,0,1,1,1,1,1
pepelara.com,0,0,0,2,0,0,0,0,0,1,1,0,1,1,0,1
whoppingamazingcopycat.mweuf3284.repl.co,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
pan-cake.exchange,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
storageapi.fleek.one,0,0,1,3,0,0,0,0,0,0,1,0,1,1,0,1
mail.piedadmrodriguez.com,0,0,1,4,0,0,0,0,0,1,1,1,1,1,1,1
caseid100481965481019815.firebaseapp.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1
lexy.pages.dev,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
irs.primeramfbank.com,0,0,1,2,0,0,0,0,0,0,0,1,1,1,1,1
agencebp02.web.app,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
bullettrainbtn2.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1
bkd.madiunkab.go.id,0,0,1,5,0,0,0,0,0,0,0,1,1,1,1,1
krowdel.pl,0,0,0,5,0,0,0,0,1,1,1,1,1,1,1,1
bpjyeo7cfcccaqh5etkjsalqyng7mzhj27hwxreyo4oayn66ghsa.arweave.net,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1
file-share-from-campbell-folder-view.web.app,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1
a28fe872-114f-4791-ba90-1beb55636700.id.repl.co,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1
mmocorporation2017.com,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1
ama.01-jp.com,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
5a5503a9-bea9-481b-af63-399592b26b06.id.repl.co,0,0,1,2,0,0,0,1,0,1,1,1,1,1,0,1
re-redirection-acc-id923872635122.blogspot.com,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1
c2mep-reg.com,0,0,0,4,0,0,0,1,0,0,0,1,1,1,1,1
saatvikholidays.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1
globalbeautyimport.com,0,0,0,3,0,0,1,0,0,1,1,0,1,1,0,1
entregascorreos.page.link,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
3uml42q7h5iwui7w6za2po5gwxuhzah3i7ywuunmnlle6cye-ipfs-w3s-link.translate.goog,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1
93kk3322po.ij389276155.repl.co,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
sweepstakes25.godaddysites.com,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1
syd1.digitaloceanspaces.com,0,1,1,3,0,0,1,0,0,0,1,1,1,1,0,1
mjaymup1bhk0mtf0aa.filesusr.com,0,0,1,2,0,0,0,0,0,1,1,1,1,1,0,1
bunlorad.web.app,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
intmecarref.web.app,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
fb-restriction-case-5e7cd.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1
hipercomcove.info,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
labinstruments.org,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1
partageetharmonie.web.app,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
mdex-dao.org,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
jazzlyxkyy.duckdns.org,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
qw8-kmb8.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1
is.gd,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1
fonction-pst.web.app,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1
bake-coti.org,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
binance-x-metamask.com,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
ipfs.best-practice.se,0,0,1,3,0,0,0,1,0,0,1,1,1,1,1,1
case1004300386.firebaseapp.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1
att-108965.weeblysite.com,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1
nuevacofnirim.048389340b.repl.co,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
outlook-web-97b48.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1
coinbasedefi.one,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
bezahlen.net,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,1
att-104003.weeblysite.com,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1
serviciodecorreo.arfjewelry.com,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
dev-24horasenlinea-seguridad-bisa.pantheonsite.io,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1
help-center692.crabdance.com,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1
caseid10035896345897345.web.app,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
s76228.gridserver.com,0,0,1,4,0,0,0,0,0,1,1,1,1,1,1,1
suite-trezo.io,0,0,0,2,0,0,0,1,0,0,0,1,1,1,1,1
15ad78dd-b641-4b56-ab5d-818670b7a46f.id.repl.co,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1
case1004300386.web.app,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
rcube000005.firebaseapp.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1
wrroca.webwave.dev,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
roundcube-updatealx.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1
tinyurl.com,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1
demo2.cloudwp.dev,0,0,0,2,0,0,0,0,0,0,1,1,1,1,0,1
ass-maladievitaie-info.com,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
musgehwnsdkf.godaddysites.com,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
vaiotomoakci.site.com.br,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
xn--zkync-kdb.com,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
sfr-confirmation.fr,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
help-center524.crabdance.com,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1
help-center513.crabdance.com,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1
blurdrop.net,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
